,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo
8916,14113,,ISUZU,VehiCross,1997,Jeep,True,Petrol,3.2,240000,6.0,Automatic,4x4,2,Left wheel,Grey,6,False
8917,2509,1017.0,MERCEDES-BENZ,GLA 250,2017,Jeep,True,Petrol,2.0,44477,4.0,Automatic,Front,4,Left wheel,Blue,0,False
8918,30734,,MERCEDES-BENZ,Sprinter,2003,Microbus,False,Diesel,2.7,116000,5.0,Tiptronic,Rear,2,Left wheel,White,4,True
8919,22894,666.0,MERCEDES-BENZ,E 250,2014,Sedan,True,Diesel,2.1,58864,4.0,Automatic,Rear,4,Left wheel,Silver,12,False
8920,11133,394.0,TOYOTA,Camry,2014,Sedan,True,Hybrid,2.5,179381,4.0,Automatic,Front,4,Left wheel,Black,12,False
8921,6900,,HONDA,Odyssey,2002,Minivan,False,Petrol,2.3,0,4.0,Automatic,Front,4,Right-hand drive,Black,4,False
8922,15210,463.0,TOYOTA,Prius,2018,Sedan,True,Hybrid,1.8,12416,4.0,Automatic,Front,4,Left wheel,White,12,False
8923,157,640.0,FORD,Fusion,2013,Sedan,True,Hybrid,2.0,339920,4.0,Automatic,Front,4,Left wheel,White,0,False
8924,43655,1091.0,HYUNDAI,H1,2016,Universal,True,Diesel,2.5,145631,4.0,Automatic,Front,4,Left wheel,Black,4,False
8925,5018,779.0,TOYOTA,Camry,2013,Sedan,True,Hybrid,2.5,190549,4.0,Automatic,Front,4,Left wheel,Black,12,False
8926,7997,836.0,DAEWOO,Lacetti,2010,Sedan,True,Diesel,2.0,53223,4.0,Automatic,Front,4,Left wheel,Grey,4,False
8928,17245,503.0,TOYOTA,Prius C,2012,Hatchback,True,Hybrid,1.5,75000,4.0,Automatic,Front,4,Left wheel,Red,12,False
8929,21500,1054.0,MERCEDES-BENZ,Vito,2009,Goods wagon,False,Diesel,2.2,165738,4.0,Manual,Rear,4,Left wheel,White,6,True
8931,14113,502.0,TOYOTA,Prius C,2013,Hatchback,False,Hybrid,1.5,135000,4.0,Automatic,Front,4,Left wheel,White,8,False
8932,17562,1077.0,VOLKSWAGEN,Jetta,2019,Sedan,True,Petrol,2.0,6565,4.0,Automatic,Front,4,Left wheel,Silver,12,False
8933,10663,,TOYOTA,Aqua,2012,Hatchback,False,Hybrid,1.5,1000,4.0,Automatic,Front,4,Right-hand drive,White,2,False
8934,1646,640.0,FORD,Fusion,2013,Sedan,True,Hybrid,2.0,174619,4.0,Automatic,Front,4,Left wheel,Grey,0,False
8936,7683,1031.0,NISSAN,Note,2013,Hatchback,False,Petrol,1.2,151000,3.0,Automatic,Front,4,Right-hand drive,White,4,False
8937,13626,836.0,HYUNDAI,Sonata,2010,Sedan,True,Petrol,2.0,193486,4.0,Automatic,Front,4,Left wheel,Silver,4,False
8938,15681,,FORD,Transit 100LD,1998,Microbus,False,Diesel,2.5,250000,4.0,Manual,Rear,4,Left wheel,White,0,False
8939,32929,,MERCEDES-BENZ,ML 320,2009,Jeep,True,Diesel,3.0,172483,8.0,Automatic,4x4,4,Left wheel,Black,0,True
8940,44213,770.0,HYUNDAI,Tucson,2016,Jeep,True,Diesel,1.7,90924,4.0,Automatic,Front,4,Left wheel,White,4,False
8941,7527,530.0,NISSAN,Juke,2013,Jeep,True,Petrol,1.6,108222,4.0,Automatic,4x4,4,Left wheel,Black,0,False
8942,400,,OPEL,Crossland X,1976,Jeep,False,CNG,2.4,255888,8.0,Manual,Front,4,Left wheel,Red,10,False
8943,15367,584.0,HYUNDAI,Elantra,2014,Sedan,False,Petrol,1.8,78222,4.0,Tiptronic,Front,4,Left wheel,Beige,10,False
8944,22580,1091.0,SUBARU,Forester,2016,Jeep,True,Petrol,2.5,53000,4.0,Tiptronic,4x4,4,Left wheel,Black,10,False
8945,23521,781.0,CHEVROLET,Cruze,2018,Sedan,False,Petrol,1.4,6000,4.0,Tiptronic,Front,4,Left wheel,White,0,True
8947,23521,333.0,FORD,Fusion,2014,Sedan,True,Hybrid,2.0,122000,4.0,Variator,Front,4,Left wheel,Blue,8,False
8948,3763,1850.0,MERCEDES-BENZ,ML 350,2008,Jeep,True,Diesel,3.5,366869,6.0,Automatic,4x4,4,Left wheel,Black,12,False
8949,24302,642.0,CHEVROLET,Malibu,2012,Sedan,True,Petrol,2.0,91654,4.0,Automatic,Front,4,Left wheel,Red,4,False
8950,6272,,MERCEDES-BENZ,CLK 230,2001,Coupe,False,Petrol,2.3,266085,4.0,Manual,Rear,2,Left wheel,Black,2,False
8951,9408,,BMW,320,2000,Coupe,False,Diesel,1.9,197000,4.0,Manual,Front,2,Left wheel,Green,4,False
8953,12858,,OPEL,Zafira,2005,Minivan,False,Diesel,1.9,204000,4.0,Manual,Front,4,Left wheel,Grey,8,False
8954,15681,891.0,HYUNDAI,Sonata,2016,Sedan,True,LPG,2.0,201876,4.0,Automatic,Front,4,Left wheel,Silver,4,False
8955,15053,890.0,KIA,Optima,2016,Sedan,True,Petrol,2.0,65089,4.0,Automatic,Front,4,Left wheel,Silver,4,False
8956,17876,1296.0,TOYOTA,Camry,2008,Sedan,False,Petrol,2.4,141877,4.0,Automatic,Front,4,Left wheel,Golden,12,False
8959,43548,891.0,HYUNDAI,Santa FE,2016,Jeep,True,Diesel,2.0,135264,4.0,Automatic,Front,4,Left wheel,Black,4,False
8960,15681,891.0,HYUNDAI,Sonata,2016,Sedan,True,LPG,2.0,261167,4.0,Automatic,Front,4,Left wheel,Silver,4,False
8961,16621,271.0,TOYOTA,Prius C,2014,Hatchback,False,Hybrid,1.5,96000,4.0,Automatic,Front,5,Left wheel,Silver,10,False
8962,18726,503.0,TOYOTA,Aqua,2012,Hatchback,True,Petrol,1.5,101800,4.0,Automatic,Front,4,Left wheel,Yellow,4,False
8963,10976,,BMW,318,2005,Coupe,True,Petrol,1.8,55000,4.0,Manual,Rear,4,Left wheel,Red,4,False
8964,392,629.0,NISSAN,Juke,2015,Jeep,True,Petrol,1.6,85944,4.0,Automatic,4x4,4,Left wheel,Black,0,False
8965,16443,640.0,HYUNDAI,Sonata,2013,Sedan,True,Petrol,2.0,162000,4.0,Automatic,Front,4,Left wheel,Grey,4,False
8966,3136,441.0,HYUNDAI,Sonata,2015,Sedan,True,Hybrid,2.4,187909,4.0,Automatic,Front,4,Left wheel,Silver,0,False
8967,11604,,SUBARU,Forester cross sport,2004,Sedan,False,Petrol,2.0,138000,4.0,Automatic,4x4,4,Right-hand drive,Silver,2,False
8968,7995,,NISSAN,Tiida,2004,Hatchback,True,Petrol,1.5,171000,4.0,Automatic,Front,4,Right-hand drive,Sky blue,4,False
8969,8467,,NISSAN,Tiida,2004,Hatchback,True,Petrol,1.5,138000,4.0,Variator,Front,4,Right-hand drive,Black,4,False
8970,24029,707.0,SSANGYONG,REXTON,2011,Jeep,True,Diesel,2.0,119000,4.0,Automatic,Front,4,Left wheel,Silver,4,False
8972,32945,447.0,HONDA,FIT,2013,Hatchback,True,Petrol,1.3,17150,4.0,Automatic,Front,4,Left wheel,White,4,False
8973,15035,707.0,HYUNDAI,Sonata,2011,Sedan,True,Petrol,2.0,138111,4.0,Automatic,Front,4,Left wheel,Black,4,False
8974,9000,687.0,DAEWOO,Lacetti,2010,Sedan,True,Petrol,1.6,75000,4.0,Automatic,Front,4,Left wheel,Blue,4,False
8975,17249,640.0,SUBARU,XV,2013,Jeep,False,Petrol,2.0,112000,4.0,Automatic,4x4,4,Left wheel,Silver,0,False
8976,45138,891.0,HYUNDAI,Santa FE,2016,Jeep,True,Diesel,2.0,140633,4.0,Automatic,Front,4,Left wheel,Blue,4,False
8977,27479,1203.0,JEEP,Grand Cherokee,2011,Jeep,True,Petrol,3.6,234000,4.0,Automatic,Front,4,Left wheel,Grey,4,False
8978,24775,,SCION,tC,2014,Coupe,False,Petrol,2.5,68000,4.0,Tiptronic,Front,2,Right-hand drive,Grey,12,False
8979,188,333.0,SUBARU,XV,2014,Jeep,True,Hybrid,2.0,0,4.0,Automatic,4x4,4,Left wheel,Silver,0,False
8980,17876,1292.0,LAND ROVER,Range Rover,2016,Jeep,True,Diesel,3.0,84110,6.0,Automatic,4x4,4,Left wheel,Black,12,False
8981,43545,891.0,HYUNDAI,Sonata,2016,Sedan,True,Petrol,2.0,78196,4.0,Automatic,Front,4,Left wheel,Black,4,False
8982,94,1017.0,MERCEDES-BENZ,E 300,2017,Sedan,True,Petrol,2.0,1600,4.0,Automatic,Rear,4,Left wheel,Black,12,False
8983,17249,,HONDA,FIT,2012,Hatchback,True,Hybrid,1.5,160000,4.0,Variator,Front,4,Right-hand drive,White,0,False
8984,12231,,FORD,Fiesta,2011,Hatchback,False,Petrol,1.6,154274,4.0,Automatic,Front,4,Left wheel,Silver,8,False
8985,16621,,TOYOTA,Prius,2011,Hatchback,False,Hybrid,1.8,102000,4.0,Automatic,Front,4,Left wheel,Grey,10,False
8986,120,1055.0,NISSAN,Quest,2013,Minivan,True,Petrol,3.5,74000,6.0,Automatic,Front,4,Left wheel,Grey,8,False
8987,27174,730.0,CHEVROLET,Aveo,2016,Sedan,True,Petrol,1.6,9607,4.0,Automatic,Front,4,Left wheel,White,4,False
8988,7840,,NISSAN,Maxima,2003,Sedan,True,CNG,2.3,120000,6.0,Tiptronic,Front,4,Left wheel,White,8,False
8989,18189,,TOYOTA,Camry,2006,Sedan,True,Hybrid,2.4,18600,4.0,Automatic,Front,4,Left wheel,Grey,8,False
8990,23521,779.0,TOYOTA,Camry,2013,Sedan,True,Hybrid,2.5,16960,4.0,Automatic,Front,4,Left wheel,Golden,10,False
8991,3607,831.0,NISSAN,Sentra,2017,Sedan,True,Petrol,1.6,26965,4.0,Automatic,Front,4,Left wheel,Grey,12,False
8992,1568,1018.0,BMW,X5,2011,Jeep,True,Diesel,3.0,270326,6.0,Automatic,4x4,4,Left wheel,White,12,False
8993,3,595.0,TOYOTA,Prius C,2015,Hatchback,True,Petrol,1.5,75200,4.0,Automatic,Front,4,Left wheel,Red,12,False
8994,17562,697.0,TOYOTA,Prius,2015,Sedan,True,Petrol,1.8,132000,4.0,Tiptronic,Front,4,Left wheel,White,6,False
8995,60,,SUZUKI,Grand Vitara,2007,Jeep,False,Petrol,2.7,83000,6.0,Automatic,Rear,4,Left wheel,Silver,12,False
8996,17876,,TOYOTA,Camry,2007,Sedan,False,LPG,2.4,167435,4.0,Tiptronic,Front,4,Left wheel,Silver,6,False
8997,26657,919.0,MERCEDES-BENZ,ML 350,2012,Jeep,True,Diesel,3.0,271701,6.0,Automatic,4x4,4,Left wheel,White,12,False
8998,29163,781.0,HYUNDAI,H1,2012,Minivan,True,Diesel,2.5,63308,4.0,Automatic,Front,4,Left wheel,Silver,4,False
8999,15577,639.0,CHEVROLET,Cruze,2014,Sedan,True,Diesel,2.0,77192,4.0,Automatic,Front,4,Left wheel,Silver,4,False
9000,8515,1047.0,HYUNDAI,Elantra,2007,Sedan,True,Petrol,1.6,140900,4.0,Automatic,Front,4,Left wheel,Silver,4,False
9001,18189,,FORD,Escape,2008,Jeep,True,Hybrid,2.5,175000,4.0,Automatic,4x4,4,Left wheel,Green,0,False
9002,6272,,MITSUBISHI,Chariot,1999,Minivan,False,Petrol,2.4,98000,4.0,Tiptronic,Front,4,Right-hand drive,White,4,False
9003,2430,1598.0,MERCEDES-BENZ,E 350,2008,Sedan,True,Diesel,3.0,175614,6.0,Automatic,Rear,4,Left wheel,Black,12,False
9004,4547,271.0,TOYOTA,Prius C,2014,Hatchback,False,Hybrid,1.5,196800,4.0,Automatic,Front,4,Left wheel,Silver,12,False
9005,25716,,BMW,X5,2008,Jeep,True,Petrol,3.0,125000,6.0,Tiptronic,4x4,4,Left wheel,Black,12,False
9006,16621,638.0,KIA,Optima,2014,Sedan,True,Petrol,2.0,38305,4.0,Automatic,Front,4,Left wheel,White,4,False
9007,23207,,TOYOTA,Prius,2013,Sedan,False,Hybrid,1.8,70042,4.0,Variator,Front,4,Left wheel,Grey,12,False
9008,11604,1017.0,HYUNDAI,Sonata,2017,Sedan,True,LPG,2.0,269689,4.0,Automatic,Front,4,Left wheel,Orange,4,False
9009,7840,,MERCEDES-BENZ,CLK 200,2000,Coupe,False,Petrol,2.0,210508,4.0,Manual,Rear,2,Left wheel,Silver,4,False
9010,4547,919.0,MERCEDES-BENZ,GL 350,2012,Jeep,True,Diesel,3.0,149171,6.0,Automatic,4x4,4,Left wheel,Black,12,False
9011,28830,528.0,HYUNDAI,Elantra,2014,Sedan,True,Petrol,1.6,90823,4.0,Automatic,Front,4,Left wheel,White,4,False
9012,25089,781.0,TOYOTA,Camry,2012,Sedan,False,Hybrid,2.5,125678,4.0,Tiptronic,Front,4,Left wheel,White,12,False
9014,12281,687.0,CHEVROLET,Lacetti,2010,Sedan,True,Petrol,1.6,111897,4.0,Automatic,Front,4,Left wheel,Red,4,False
9015,90,,TOYOTA,Grand HIACE,2002,Minivan,False,Petrol,3.4,85000,6.0,Automatic,4x4,4,Right-hand drive,White,4,False
9016,8781,761.0,TOYOTA,Prius,2010,Hatchback,False,Hybrid,1.8,315000,4.0,Automatic,Front,4,Left wheel,Black,12,False
9017,6899,1236.0,MITSUBISHI,Colt,2011,Hatchback,False,Petrol,1.3,74000,4.0,Automatic,Front,4,Right-hand drive,White,2,False
9018,3500,,OPEL,Vectra,1998,Sedan,False,CNG,2.0,0,4.0,Manual,Front,4,Left wheel,Green,2,False
9019,4077,,VOLKSWAGEN,Passat pasat,1999,Sedan,True,Petrol,2.3,4444,5.0,Manual,Front,4,Left wheel,Sky blue,4,False
9020,18503,503.0,TOYOTA,Prius C,2012,Hatchback,False,Hybrid,1.5,91753,4.0,Automatic,Front,4,Left wheel,White,8,False
9021,4861,1324.0,TOYOTA,Highlander,2010,Jeep,True,Hybrid,3.3,264877,6.0,Automatic,4x4,4,Left wheel,White,12,False
9023,12544,642.0,FORD,Focus,2012,Sedan,False,Petrol,2.0,138664,4.0,Automatic,Front,4,Left wheel,Blue,0,False
9024,16621,271.0,TOYOTA,Prius C,2014,Hatchback,False,Hybrid,1.5,113000,4.0,Variator,Front,4,Left wheel,White,9,False
9025,16481,645.0,TOYOTA,Prius,2011,Hatchback,True,Hybrid,1.8,121000,4.0,Automatic,Front,4,Left wheel,Silver,7,False
9026,314,,MOSKVICH,401,1953,Hatchback,False,Petrol,0.6,150000,4.0,Manual,Rear,4,Left wheel,Sky blue,1,False
9027,3500,,MERCEDES-BENZ,230,1992,Sedan,False,CNG,2.3,220000,4.0,Manual,Rear,4,Right-hand drive,Black,2,False
9028,18817,,MERCEDES-BENZ,Vito,2006,Microbus,False,Diesel,2.2,200000,6.0,Manual,Rear,2,Left wheel,Grey,3,True
9029,18422,642.0,TOYOTA,Aqua,2012,Sedan,True,Petrol,2.0,78200,4.0,Automatic,Front,4,Left wheel,Blue,4,False
9030,2666,1018.0,MERCEDES-BENZ,ML 350,2011,Jeep,True,Diesel,3.0,0,6.0,Automatic,4x4,4,Left wheel,Black,12,False
9031,26030,,MERCEDES-BENZ,ML 320,2009,Jeep,True,Diesel,3.2,304000,8.0,Tiptronic,4x4,4,Left wheel,White,12,True
9032,18800,530.0,HYUNDAI,Veloster,2013,Hatchback,True,Petrol,1.6,53000,4.0,Tiptronic,Front,4,Left wheel,Blue,10,False
9033,706,761.0,TOYOTA,Prius,2010,Hatchback,True,Hybrid,1.8,73402,4.0,Automatic,Front,4,Left wheel,White,12,False
9034,23521,308.0,TOYOTA,Prius,2014,Hatchback,False,Hybrid,1.8,152000,4.0,Variator,Front,4,Left wheel,Silver,0,False
9035,21953,,FORD,C-MAX,2013,Hatchback,True,Plug-in Hybrid,2.0,133000,4.0,Automatic,Front,4,Left wheel,Silver,10,False
9036,11604,489.0,CHEVROLET,Spark,2016,Sedan,True,Petrol,1.0,31455,4.0,Automatic,Front,4,Left wheel,White,4,False
9037,18817,753.0,TOYOTA,Camry,2012,Sedan,False,Petrol,2.4,72000,4.0,Tiptronic,Front,4,Left wheel,Golden,12,False
9038,13658,687.0,HYUNDAI,Elantra,2010,Sedan,True,Petrol,1.6,115783,4.0,Automatic,Front,4,Left wheel,Silver,4,False
9039,24239,502.0,TOYOTA,Aqua,2013,Hatchback,True,Petrol,1.5,69000,4.0,Automatic,Front,4,Left wheel,White,4,False
9040,10349,1888.0,BMW,530,2007,Sedan,True,Petrol,3.0,15000,6.0,Tiptronic,Rear,5,Left wheel,Blue,10,False
9041,10976,,TOYOTA,Prius,2007,Hatchback,False,Hybrid,1.5,285000,4.0,Variator,Front,4,Left wheel,White,4,False
9042,10976,,FORD,Transit,1999,Goods wagon,False,Diesel,2.5,137000,4.0,Manual,Rear,4,Left wheel,Blue,2,False
9043,19296,862.0,HYUNDAI,H1,2011,Pickup,True,Diesel,2.5,61805,4.0,Automatic,Front,4,Left wheel,White,4,False
9044,17876,645.0,MERCEDES-BENZ,C 250 AMG,2011,Coupe,True,Petrol,1.8,230210,4.0,Tiptronic,Rear,2,Left wheel,Black,0,True
9045,14113,1017.0,HYUNDAI,Sonata,2017,Sedan,True,LPG,2.0,31143,4.0,Automatic,Front,4,Left wheel,White,4,False
9046,157,640.0,FORD,Fusion,2013,Sedan,True,Hybrid,2.0,215965,4.0,Automatic,Front,4,Left wheel,Black,0,False
9047,16621,779.0,VOLKSWAGEN,Passat,2013,Sedan,False,Petrol,2.5,153000,5.0,Tiptronic,Front,4,Left wheel,Silver,6,False
9048,16107,446.0,HONDA,FIT,2014,Hatchback,True,Petrol,1.3,35479,4.0,Automatic,Front,4,Left wheel,Blue,4,False
9049,5645,1288.0,CHEVROLET,Captiva,2007,Jeep,True,Diesel,2.0,48563,4.0,Automatic,Front,4,Left wheel,White,4,False
9050,46251,1249.0,HYUNDAI,H1,2017,Universal,True,Diesel,2.5,83138,4.0,Automatic,Front,4,Left wheel,Grey,4,False
9051,941,167.0,VOLKSWAGEN,Scirocco,2016,Sedan,True,Petrol,0.2,73722,4.0,Automatic,Front,4,Left wheel,Black,12,False
9052,13485,,MITSUBISHI,Outlander,2006,Jeep,True,Petrol,2.4,140000,4.0,Tiptronic,4x4,4,Left wheel,Grey,8,False
9053,18503,777.0,SUBARU,Forester,2014,Jeep,False,Petrol,2.5,140000,4.0,Automatic,4x4,4,Left wheel,Black,12,False
9054,20005,583.0,HYUNDAI,Elantra,2011,Sedan,True,Petrol,1.6,157421,4.0,Automatic,Front,4,Left wheel,Grey,4,False
9055,31317,777.0,HYUNDAI,H1,2014,Minivan,True,Diesel,2.5,139328,4.0,Automatic,Front,4,Left wheel,Silver,4,False
9056,26180,629.0,HYUNDAI,Elantra,2015,Sedan,True,Petrol,1.6,107899,4.0,Automatic,Front,4,Left wheel,Silver,4,False
9057,6743,1273.0,TOYOTA,Avalon,2015,Sedan,True,Petrol,3.5,122418,6.0,Automatic,Front,4,Left wheel,Blue,12,False
9058,7200,,NISSAN,Gloria,2001,Sedan,False,Petrol,2.5,100000,6.0,Automatic,Rear,4,Right-hand drive,Silver,2,False
9059,8154,1172.0,LEXUS,IS 350,2011,Sedan,True,Petrol,3.5,259066,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
9060,10515,363.0,CHEVROLET,Spark,2014,Hatchback,True,Petrol,1.0,57498,4.0,Automatic,Front,4,Left wheel,White,4,False
9061,17000,749.0,KIA,Optima,2014,Sedan,False,Petrol,2.4,99000,4.0,Tiptronic,Front,4,Left wheel,Silver,10,False
9062,15367,1024.0,HYUNDAI,H1,2010,Minivan,True,Diesel,2.5,49140,4.0,Automatic,Front,4,Left wheel,Black,4,False
9064,14113,,AUDI,A6,2006,Sedan,True,Petrol,3.2,260000,12.0,Tiptronic,Front,4,Left wheel,Silver,12,False
9065,7527,,HONDA,FIT,2004,Hatchback,True,Petrol,1.3,150000,4.0,Automatic,Front,4,Right-hand drive,Silver,4,False
9066,14166,640.0,HYUNDAI,Sonata,2013,Sedan,True,Petrol,2.0,206088,4.0,Automatic,Front,4,Left wheel,White,4,False
9067,5500,,TOYOTA,Avensis,2003,Sedan,False,Petrol,2.0,109000,4.0,Tiptronic,Front,4,Left wheel,Brown,4,False
9068,20209,531.0,HYUNDAI,Elantra,2012,Sedan,True,Petrol,1.6,108900,4.0,Automatic,Front,4,Left wheel,Silver,4,False
9069,38894,640.0,HYUNDAI,Santa FE,2013,Jeep,True,Diesel,2.0,166476,4.0,Automatic,Front,4,Left wheel,Grey,4,False
9070,7840,836.0,HYUNDAI,Sonata,2010,Sedan,True,LPG,2.0,350070,4.0,Automatic,Front,4,Left wheel,Grey,4,False
9071,1098,761.0,TOYOTA,Corolla,2010,Sedan,True,Petrol,1.8,346078,4.0,Automatic,Front,4,Left wheel,Blue,12,False
9072,10976,843.0,TOYOTA,Prius,2008,Hatchback,False,Hybrid,1.5,100914,4.0,Automatic,Front,4,Left wheel,Sky blue,12,False
9073,21953,781.0,TOYOTA,Camry,2012,Sedan,True,Petrol,2.5,12300,4.0,Tiptronic,Front,4,Left wheel,Black,12,False
9074,22266,777.0,TOYOTA,Camry,2014,Sedan,True,Petrol,2.5,105600,4.0,Tiptronic,Front,4,Left wheel,Grey,12,True
9075,4234,1307.0,CHEVROLET,Impala,2015,Sedan,True,Petrol,3.6,159094,6.0,Automatic,Front,4,Left wheel,Black,12,False
9076,627,2658.0,DODGE,Challenger,2016,Coupe,True,Petrol,6.4,33238,8.0,Automatic,Rear,2,Left wheel,White,12,False
9077,9095,,TOYOTA,Wish,2005,Minivan,True,CNG,1.8,27000,4.0,Automatic,4x4,4,Right-hand drive,Blue,10,False
9078,18189,,LAND ROVER,Land Rover Sport,2007,Jeep,True,Petrol,4.2,256000,8.0,Tiptronic,4x4,4,Left wheel,White,6,False
9079,19757,1820.0,HONDA,Odyssey,2019,Sedan,True,Petrol,3.5,13994,6.0,Automatic,Front,4,Left wheel,Black,12,False
9080,13000,642.0,FORD,C-MAX,2012,Hatchback,False,Hybrid,2.0,208000,4.0,Variator,Front,4,Left wheel,Grey,8,False
9081,3763,891.0,LEXUS,IS 200,2016,Sedan,True,Petrol,2.0,58328,4.0,Automatic,Rear,4,Left wheel,White,12,False
9082,941,1811.0,LEXUS,GX 460,2010,Jeep,True,Petrol,4.6,260771,8.0,Automatic,4x4,4,Left wheel,Black,0,False
9083,14113,447.0,HONDA,Insight,2013,Sedan,True,Hybrid,1.3,44000,4.0,Tiptronic,Front,4,Left wheel,Green,8,False
9084,20385,,TOYOTA,Camry,2012,Sedan,False,Hybrid,2.5,320000,4.0,Variator,Front,4,Left wheel,White,6,False
9085,2666,900.0,DODGE,Avenger,2015,Sedan,True,Petrol,2.4,101394,4.0,Automatic,Front,4,Left wheel,White,12,False
9088,1568,1172.0,MERCEDES-BENZ,E 350,2011,Coupe,True,Diesel,3.5,226251,6.0,Automatic,Rear,2,Left wheel,Black,12,False
9089,706,574.0,HONDA,Insight,2010,Hatchback,True,Hybrid,1.3,189571,4.0,Automatic,Front,4,Left wheel,Silver,0,False
9090,23521,765.0,SUBARU,Crosstrek,2015,Jeep,False,Petrol,2.0,115000,6.0,Tiptronic,Front,4,Left wheel,Green,12,False
9092,12544,2188.0,MERCEDES-BENZ,ML 350,2007,Jeep,True,Petrol,3.5,246400,6.0,Tiptronic,4x4,4,Left wheel,Silver,8,False
9093,25763,777.0,HYUNDAI,H1,2014,Minivan,True,Diesel,2.5,273500,4.0,Automatic,Front,4,Left wheel,Black,4,False
9094,11290,642.0,VOLKSWAGEN,Passat,2012,Sedan,True,Diesel,2.0,97070,4.0,Tiptronic,Front,4,Left wheel,Grey,12,True
9095,29793,1077.0,TOYOTA,CHR,2019,Jeep,True,Petrol,2.0,4330,4.0,Automatic,Front,4,Left wheel,White,12,False
9097,9408,,SUBARU,Legacy bl5,2003,Sedan,False,Petrol,2.0,182000,4.0,Tiptronic,4x4,4,Right-hand drive,Silver,2,True
9098,13015,,MERCEDES-BENZ,C 230,2005,Sedan,True,LPG,2.5,235000,6.0,Tiptronic,Rear,4,Left wheel,White,0,False
9099,36065,1055.0,LEXUS,RX 450,2013,Jeep,False,Hybrid,3.5,0,6.0,Automatic,4x4,4,Left wheel,Black,0,False
9100,14113,,MERCEDES-BENZ,C 180 komp,2006,Sedan,True,Petrol,1.8,140000,4.0,Tiptronic,Rear,4,Left wheel,Beige,0,False
9102,26030,,TOYOTA,Yaris RS,2016,Hatchback,True,Petrol,1.5,55000,4.0,Tiptronic,Front,4,Left wheel,Blue,12,False
9104,21012,,TOYOTA,Camry,2009,Sedan,False,Hybrid,2.4,251200,4.0,Automatic,Front,4,Left wheel,Silver,8,False
9105,23138,836.0,HYUNDAI,Tucson,2010,Jeep,True,Diesel,2.0,221000,4.0,Automatic,Front,4,Left wheel,White,4,False
9106,4265,419.0,NISSAN,March,2013,Hatchback,True,Petrol,1.2,187175,4.0,Automatic,Front,4,Left wheel,Black,4,False
9107,27504,730.0,HYUNDAI,Elantra,2016,Sedan,True,LPG,1.6,74909,4.0,Automatic,Front,4,Left wheel,Silver,4,False
9108,941,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,True,Diesel,3.5,184467,6.0,Automatic,Rear,4,Left wheel,White,12,False
9109,7213,,VOLKSWAGEN,Golf 4,2002,Hatchback,False,Petrol,2.0,190000,4.0,Manual,Front,4,Left wheel,Silver,6,False
9110,6429,779.0,TOYOTA,Camry,2013,Sedan,True,Hybrid,2.5,234218,4.0,Automatic,Front,4,Left wheel,White,12,False
9111,12544,1750.0,TOYOTA,Highlander,2008,Sedan,True,Hybrid,3.3,334414,6.0,Automatic,4x4,4,Left wheel,White,12,False
9112,20071,730.0,HYUNDAI,Elantra,2016,Sedan,True,Petrol,1.6,72507,4.0,Automatic,Front,4,Left wheel,Black,4,False
9113,26999,707.0,HYUNDAI,Santa FE,2011,Jeep,True,Diesel,2.0,164651,4.0,Automatic,Front,4,Left wheel,White,4,False
9115,4547,1017.0,HYUNDAI,Elantra,2017,Sedan,True,Petrol,2.0,115974,4.0,Automatic,Front,4,Left wheel,White,12,False
9116,14113,,MERCEDES-BENZ,CL 500,2000,Coupe,True,CNG,5.0,245000,8.0,Tiptronic,Rear,2,Left wheel,Silver,10,False
9117,251,584.0,HYUNDAI,Elantra,2014,Sedan,True,Petrol,1.8,40963,4.0,Automatic,Front,4,Left wheel,Blue,12,False
9118,2901,586.0,CHEVROLET,Cruze,2012,Sedan,True,Petrol,1.8,181550,4.0,Automatic,Front,4,Left wheel,Blue,12,False
9119,5645,781.0,TOYOTA,Camry,2012,Sedan,True,Petrol,2.5,230336,4.0,Automatic,Front,4,Left wheel,Black,12,False
9121,188,1172.0,LEXUS,RX 450,2011,Jeep,True,Hybrid,3.5,101816,6.0,Automatic,4x4,4,Left wheel,Black,12,False
9122,12231,503.0,TOYOTA,Yaris,2012,Hatchback,False,Petrol,1.5,136640,4.0,Automatic,Front,2,Left wheel,White,8,False
9123,12858,528.0,FORD,Fiesta,2014,Hatchback,False,Petrol,1.6,56000,4.0,Automatic,Front,4,Left wheel,Beige,10,False
9124,220,1185.0,FORD,Escape,2009,Jeep,True,Hybrid,2.5,193614,4.0,Automatic,Front,4,Left wheel,White,0,False
9125,3763,1850.0,MERCEDES-BENZ,ML 350,2008,Jeep,True,Diesel,3.5,366869,6.0,Automatic,4x4,4,Left wheel,Black,12,False
9126,18422,503.0,TOYOTA,Aqua,2012,Hatchback,True,Petrol,1.5,103000,4.0,Automatic,Front,4,Left wheel,Yellow,4,False
9127,706,1018.0,BMW,535,2011,Sedan,True,Petrol,3.0,163739,6.0,Automatic,4x4,4,Left wheel,White,12,False
